[2023-06-17 15:57:10] INFO | FSMContextProxy state = 'Form:image_source', data = {'image_style': 'AgACAgIAAxkBAANEZI2tmOpNtmBAsewljtpJp04-0JYAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA', 'image_source': 'AgACAgIAAxkBAANMZI2tpu9z2XDLGCSiIhKgN77R8XMAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA', 'size': [1280, 486]}, closed = True
[2023-06-17 15:57:11] INFO | 300954178 generating photo
[2023-06-17 15:57:11] INFO | 300954178 | source file: AgACAgIAAxkBAANMZI2tpu9z2XDLGCSiIhKgN77R8XMAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA | image_file: AgACAgIAAxkBAANEZI2tmOpNtmBAsewljtpJp04-0JYAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA
[2023-06-17 15:57:28] INFO | Started loading photo source for 300954178
[2023-06-17 15:57:30] INFO | 300954178 loading AgACAgIAAxkBAANRZI2tuvkZqWtStc9KszArNXSMEcgAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA.jpg
[2023-06-17 15:57:30] INFO | FSMContextProxy state = 'Form:image_source', data = {'image_source': 'AgACAgIAAxkBAANRZI2tuvkZqWtStc9KszArNXSMEcgAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA', 'size': [1280, 486]}, closed = True
[2023-06-17 15:57:32] INFO | Started loading photo style for 300954178
[2023-06-17 15:57:34] INFO | 300954178 loading AgACAgIAAxkBAANUZI2tv6nYJ2HPUnEAASW3EfUAAfuOGgAC2cYxGxIQcEhQx-RAso09vQEAAwIAA3kAAy8E.jpg
[2023-06-17 15:57:34] INFO | FSMContextProxy state = 'Form:image_style', data = {'image_source': 'AgACAgIAAxkBAANRZI2tuvkZqWtStc9KszArNXSMEcgAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA', 'size': [1280, 486], 'image_style': 'AgACAgIAAxkBAANUZI2tv6nYJ2HPUnEAASW3EfUAAfuOGgAC2cYxGxIQcEhQx-RAso09vQEAAwIAA3kAAy8E'}, closed = True
[2023-06-17 15:57:36] INFO | 300954178 generating photo
[2023-06-17 15:57:36] INFO | 300954178 | source file: AgACAgIAAxkBAANRZI2tuvkZqWtStc9KszArNXSMEcgAAtnGMRsSEHBIUMfkQLKNPb0BAAMCAAN5AAMvBA | image_file: AgACAgIAAxkBAANUZI2tv6nYJ2HPUnEAASW3EfUAAfuOGgAC2cYxGxIQcEhQx-RAso09vQEAAwIAA3kAAy8E
[2023-06-17 15:57:41] INFO | Building the style transfer model..
[2023-06-17 15:57:43] INFO | Optimizing..
[2023-06-17 15:57:47] INFO | run [5]:
[2023-06-17 15:57:47] INFO | Style Loss : 0.000000 Content Loss: 0.000000
[2023-06-17 15:57:51] INFO | run [10]:
[2023-06-17 15:57:51] INFO | Style Loss : 0.000000 Content Loss: 0.000000
[2023-06-17 15:57:54] INFO | run [15]:
[2023-06-17 15:57:54] INFO | Style Loss : 0.000000 Content Loss: 0.000000
[2023-06-17 15:57:59] INFO | run [20]:
[2023-06-17 15:57:59] INFO | Style Loss : 0.000000 Content Loss: 0.000000
[2023-06-17 15:58:00] INFO | 7b2f079cbe4945cbac57e3563ac44593.jpg
[2023-06-17 16:11:44] INFO | User 300954178 deouron started
[2023-06-17 16:12:05] INFO | Started loading photo style for 300954178
